Episodio n;Titulo;URL;Año;Mes
Episodio 1;Otras cosmologías sonoras - 05/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-otras-cosmologias-sonoras-05-05-17/4008052/;2017;5
Episodio 2;Otras cosmologías sonoras - 08/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-otras-cosmologias-sonoras-08-05-17/4011278/;2017;5
Episodio 3;Otras cosmologías sonoras - 09/05/07;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-otras-cosmologias-sonoras-09-05-07/4012940/;2017;5
Episodio 4;Otras cosmologías sonoras - 10/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-otras-cosmologias-sonoras-10-05-17/4014603/;2017;5
Episodio 5;Cosmologías sonoras - 12/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-cosmologias-sonoras-12-05-17/4017292/;2017;5
Episodio 6;Cosmologías sonoras - 15/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-cosmologias-sonoras-15-05-17/4020504/;2017;5
Episodio 7;Cosmologías sonoras - 16/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-cosmologias-sonoras-16-05-17-16-05-17/4022114/;2017;5
Episodio 8;Otras cosmologías sonoras - 17/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-otras-cosmologias-sonoras-17-05-17/4023297/;2017;5
Episodio 9;Otras cosmologías sonoras - 19/05/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-otras-cosmologias-sonoras-19-05-17/4026574/;2017;5
