Episodio n;Titulo;URL;Año;Mes
Episodio 597;Setentas (109) Birth Control -Sandy denny);http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10122-setentas-109-birth-control-sandy-denny-18-04-18/4571682/;2018;4
Episodio 598;Setentas (110) Genesis: Foxtrot;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10123-setentas-110-genesis-foxtrot-19-04-18/4573517/;2018;4
Episodio 599;Setentas (111) Focus III;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10124-setentas-111-focus-iii-20-04-18/4575391/;2018;4
Episodio 600;Ismael Serrano Biblioteca Nacional;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10127-ismael-serrano-biblioteca-nacional-23-04-18/4578559/;2018;4
Episodio 601;Setentas (112) Black Sabbath IV - Malo;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10129-setentas-112-black-sabbath-iv-malo-24-04-18/4579944/;2018;4
Episodio 602;Setentas (113) Made in Japan;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10139-setentas-113-made-in-japan-25-04-18/4581428/;2018;4
Episodio 603;Setentas (114) Deep Purple - Beck, Bogert & Appice 26/04/18;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10131-setentas-114-deep-purple-beck-bogert-appice-26-04-18/4582811/;2018;4
Episodio 604;Setentas 115 Pink Floyd - Christy Moore;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10132-setentas-115-pink-floyd-christy-moore-27-04-18/4584686/;2018;4
Episodio 605;Día Internacional del Jazz;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-300418/4587441/;2018;4
Episodio 606;Setentas (116) Klaus Schulze;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10137-setentas-116-klaus-schulze-01-05-18/4588348/;2018;5
Episodio 607;Setentas (137) Malo - Azteca;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10138-setentas-137-malo-azteca-02-05-18/4589239/;2018;5
Episodio 608;Congreso Música y Prensa Cuenca;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10139-congreso-musica-prensa-cuenca-03-05-18/4590322/;2018;5
Episodio 609;Setentas (118) Jerry Lee Lewis;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10140-setentas-118-jerry-lee-lewis-04-05-18/4591372/;2018;5
Episodio 610;Setentas (119) Tapiman - Fusioon;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10144-setentas-120-tapiman-fusioon-07-05-18/4593997/;2018;5
Episodio 611;Setentas (120) Maquina! en directo;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10145-setentas-120-maquina-directo-08-15-18/4595253/;2018;5
Episodio 612;Setentas (121) Lone Star;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10146-setentas-121-lone-star-09-05-18/4596663/;2018;5
Episodio 613;Setentas (122) Manolo Diaz- Peter Roar;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-10147-setentas-122-manolo-diaz-peter-roar-10-05-18/4597907/;2018;5
