Episodio n;Titulo;URL;Año;Mes
Episodio 111;Rock sinfónico 28 Ars Nova;http://www.rtve.es/play/audios/discopolis/discopolis-9794-rock-sinfonico-28-ars-nova-28-06-17/4086780/;2017;6
Episodio 112;Rock sinfónico 29 Tangerine Dream;http://www.rtve.es/play/audios/discopolis/discopolis-9795-rock-sinfonico-29-tangerine-dream-29-06-17/4086801/;2017;6
Episodio 113;Rock sinfónico 30 Neal Morse;http://www.rtve.es/play/audios/discopolis/discopolis-9796-rock-sinfonico-30-neal-morse-30-06-17/4086791/;2017;6
Episodio 114;Rock Sinfónico 31 Flower Kings;http://www.rtve.es/play/audios/discopolis/discopolis-9800-rock-sinfonico-31-flower-kings-03-07-17/4095361/;2017;7
Episodio 115;Rock Sinfónico 32 Caravan;http://www.rtve.es/play/audios/discopolis/discopolis-9801-rock-sinfonico-32-caravan-04-07-17/4097172/;2017;7
Episodio 116;Rock Sinfónico 33 After Crying;http://www.rtve.es/play/audios/discopolis/discopolis-9802-rock-sinfonico-33-after-crying-05-07-17/4096995/;2017;7
Episodio 117;Rock Sinfónico 34 The Pineapple Thief;https://www.rtve.es/play/audios/discopolis/discopolis-9803-rock-sinfonico-34-the-pineapple-thief-06-07-17/4097038/;2017;7
Episodio 118;Rock Sinfónico 35 Greg Lake;https://www.rtve.es/play/audios/discopolis/discopolis-9804-rock-sinfonico-35-greg-lake-07-07-17/4101878/;2017;7
Episodio 119;Rock Sinfónico 36 Fermata;http://www.rtve.es/play/audios/discopolis/discopolis-9800-rock-sinfonico-36-fermata-10-07-17/4101925/;2017;7
Episodio 120;Rock sinfónico 37;http://www.rtve.es/play/audios/discopolis/170711-discopolis-rock-sinfonico-37-2017-07-07t10-40-08643/4101855/;2017;7
Episodio 121;Rock Sinfónico 38 -The Nice;http://www.rtve.es/play/audios/discopolis/discopolis-9810-rock-sinfonico-38-the-nice-12-07-17/4101854/;2017;7
Episodio 122;Rock sinfónico 39 Solaris;http://www.rtve.es/play/audios/discopolis/discopolis-9811-rock-sinfonico-39-solaris-13-07-17/4111913/;2017;7
Episodio 123;Rock Sinfónico 40 Flaming Lips;http://www.rtve.es/play/audios/discopolis/discopolis-9812-rock-sinfonico-40-flaming-lips-14-07-17/4111945/;2017;7
Episodio 124;Rock Sinfónico 41 Pink Floyd sin ellos;https://www.rtve.es/play/audios/discopolis/discopolis-9814-rock-sinfonico-41-pink-floyd-sin-ellos-17-07-17/4115423/;2017;7
Episodio 125;Rock Sinfónico 42 Rusos;https://www.rtve.es/play/audios/discopolis/discopolis-9815-rock-sinfonico-42-rusos-18-07-17/4111914/;2017;7
Episodio 126;Rock Sinfónico 43 Mas rusos;http://www.rtve.es/play/audios/discopolis/discopolis-9816-rock-sinfonico-43-mas-rusos-19-07-17/4115422/;2017;7
Episodio 127;Rock Sinfónico 86 Libro Eduardo Salueña;http://www.rtve.es/play/audios/discopolis/discopolis-9932-rock-sinfonico-86-libro-eduardo-saluena-03-11-17/4285864/;2017;11
Episodio 128;Rock Sinfónico 87;http://www.rtve.es/play/audios/discopolis/discopolis-10685-rock-sinfonico-87-10-09-19/5360184/;2019;9
Episodio 129;10.706: Rock Sinfónico 88 Neal Morse;http://www.rtve.es/play/audios/discopolis/discopolis-10706-rock-sinfonico-88-neal-morse-30-09-19/5398857/;2019;9
Episodio 130;10.707:  Rock Sinfónico 89 IZZ;http://www.rtve.es/play/audios/discopolis/discopolis-10707-rock-sinfonico-89-izz-01-10-19/5399677/;2019;10
Episodio 131;10.708: Rock sinfónico 90 Pineapple Thief;http://www.rtve.es/play/audios/discopolis/discopolis-10708-rock-sinfonico-90-pineapple-thief-02-10-19/5400467/;2019;10
Episodio 132;10.709: Rock sinfónico 91 Kinetic Element;http://www.rtve.es/play/audios/discopolis/discopolis-10709-rock-sinfonico-91-kinetic-element-03-10-19/5401265/;2019;10
Episodio 133;10.714: Rock Sinfónico 92 Different Light;http://www.rtve.es/play/audios/discopolis/discopolis-071019/5403525/;2019;10
Episodio 134;10.716: Rock sinfónico 93 Flying Colours;http://www.rtve.es/play/audios/discopolis/discopolis-10716-rock-sinfonico-93-flying-colours-09-10-19/5406165/;2019;10
Episodio 135;10.745: Rock sinfónico 94 Chasin the Monsoon;http://www.rtve.es/play/audios/discopolis/discopolis-10717-rock-sinfonico-94-chasin-the-monsoon-10-10-19/5407019/;2019;10
Episodio 136;10.718: Rock sinfónico 95: Bloque;http://www.rtve.es/play/audios/discopolis/discopolis-10718-rock-sinfonico-95-bloque-11-10-19/5407899/;2019;10
Episodio 137;10.722: Rock sinfónico 96: Magic Pie;http://www.rtve.es/play/audios/discopolis/discopolis-10722-rock-sinfonico-96-magic-pie-14-10-19/5409720/;2019;10
Episodio 138;10.723: Rock sinfónico 97 Electric Asturias;http://www.rtve.es/play/audios/discopolis/discopolis-10723-rock-sinfonico-97-electric-asturias-15-10-19/5410698/;2019;10
Episodio 139;10.724 Rock Sinfónico 98 Dream Theater;http://www.rtve.es/play/audios/discopolis/discopolis-10724-rock-sinfonico-98-dream-theater-16-10-19/5411984/;2019;10
Episodio 140;10.726: Rock Sinfónico 99 Bloque 2;http://www.rtve.es/play/audios/discopolis/discopolis-10726-rock-sinfonico-99-bloque-2-18-10-19/5414712/;2019;10
Episodio 141;10.734: Rock Sinfónico 100: Bloque y3;http://www.rtve.es/play/audios/discopolis/discopolis-10734-rock-sinfonico-100-bloque-y3-25-10-19/5423088/;2019;10
Episodio 142;10.739: Rock sinfónico 101: Ayreon;http://www.rtve.es/play/audios/discopolis/discopolis-10739-rock-sinfonico-101-ayreon-29-10-19/5425992/;2019;10
Episodio 143;10.754: Rock sinfónico 102 Lost World Band;http://www.rtve.es/play/audios/discopolis/discopolis-10754-rock-sinfonico-102-lost-world-band-11-11-19/5440715/;2019;11
Episodio 144;10.780: Rock Sinfónico 103 The Later Pink Floyd;http://www.rtve.es/play/audios/discopolis/discopolis-10780-rock-sinfonico-103-the-later-pink-floyd-05-12-19/5460445/;2019;12
Episodio 145;10.794 Rock sinfónico 104, Pink Floyd cofre;http://www.rtve.es/play/audios/discopolis/discopolis-10794-rock-sinfonico-104-pink-floyd-cofre-17-12-19/5467576/;2019;12
Episodio 146;11.105: Rock Sinfónico 105: Bernard & Porsti, King Crimson;https://www.rtve.es/play/audios/discopolis/discopolis-11105-rock-sinfonico-105-bernard-porsti-king-crimson-14-10-20/5683272/;2020;10
Episodio 147;11.106: Rock Sinfónico 106: K.Crimson,A Saucerful of Secrets;https://www.rtve.es/play/audios/discopolis/discopolis-11106-rock-sinfonico-106-crimson-saucerful-of-secrets-15-10-20/5684222/;2020;10
Episodio 148;11.107: Rock Sinfónico 107: Qamar, A Saucerful of Secrets;https://www.rtve.es/play/audios/discopolis/discopolis-11107-rock-sinfonico-107-qamar-saucerful-of-secrets-16-10-20/5686042/;2020;10
Episodio 149;11.112: Rock Sinfónico 108: Kansas - R. Krieger;https://www.rtve.es/play/audios/discopolis/discopolis-11112-rock-sinfonico-108-kansas-krieger-21-10-20/5689342/;2020;10
Episodio 150;11.117: Rock Sinfónico 110: Ozric Tentacles, Lonely Robot;https://www.rtve.es/play/audios/discopolis/discopolis-11117-rock-sinfonico-110-ozric-tentacles-lonely-robot-26-10-20/5694511/;2020;10
Episodio 151;11.118: Rock Sinfónico 111: Pymlico, O.Tentacles, S.Howe;https://www.rtve.es/play/audios/discopolis/discopolis-11118-rock-sinfonico-111-pymlico-otentacles-showe-27-10-20/5695099/;2020;10
Episodio 152;11.119: Rock Sinfónico 112: Pineapple Thief, Millenium;https://www.rtve.es/play/audios/discopolis/discopolis-11119-rock-sinfonico-112-pineapple-thief-millenium-28-10-20/5696281/;2020;10
Episodio 153;11.132: Rock Sinfónico 113 Dukes Orient, Esabuc;https://www.rtve.es/play/audios/discopolis/11132-rock-sinfonico-113-dukes-orient-esabuc-10-11-20/5709360/;2020;11
