Episodio n;Titulo;URL;Año;Mes
Episodio 53;Los sesenta 53: Jethro Tull;http://www.rtve.es/play/audios/discopolis/discopolis-9346-sesenta-53-jethro-tull-16-05-16/3609713/;2016;5
Episodio 54;Los Sesenta 54 Fleetwood Mac;http://www.rtve.es/play/audios/discopolis/discopolis-9347-sesenta-54-fleetwood-mac-17-05-16/3611175/;2016;5
Episodio 55;Los sesenta 55: It's a Beautiful Day y Grand Funk Railroad;http://www.rtve.es/play/audios/discopolis/discopolis-9349-sesenta-55-its-beautiful-day-grand-funk-railroad-19-05-16/3612665/;2016;5
Episodio 56;Los sesenta: 56 Zappa-King Crimson;http://www.rtve.es/play/audios/discopolis/discopolis-9354-sesenta-56-zappa-king-crimson-23-05-16/3614931/;2016;5
Episodio 57;Los sesenta 57: Led zeppelin II;http://www.rtve.es/play/audios/discopolis/discopolis-9355-sesenta-57-led-zeppelin-ii-24-05-16/3615738/;2016;5
Episodio 58;Los sesenta 58: Allman Brothers Band;http://www.rtve.es/play/audios/discopolis/discopolis-9356-sesenta-58-allman-brothers-band-25-05-16/3616470/;2016;5
Episodio 59;Los sesenta 59: Colosseum;http://www.rtve.es/play/audios/discopolis/discopolis-9357-sesenta-59-colosseum-26-05-16/3617294/;2016;5
Episodio 60;Los sesenta 60: Rod Stewart;http://www.rtve.es/play/audios/discopolis/discopolis-9358-sesenta-60-rod-stewart-27-05-16/3618427/;2016;5
Episodio 61;Los sesenta 61 Jefferson Airplane;http://www.rtve.es/play/audios/discopolis/discopolis-9362-sesenta-61-jefferson-airplane-30-05-16/3620256/;2016;5
Episodio 62;Los Sesenta 62: The Flock - The Frost;http://www.rtve.es/play/audios/discopolis/discopolis-9363-sesenta-62-the-flock-the-frost-31-05-16/3621310/;2016;5
Episodio 63;Los sesenta 63: Julie Driscoll;http://www.rtve.es/play/audios/discopolis/discopolis-9364-sesenta-63-julie-driscoll-01-06-16/3621839/;2016;6
Episodio 64;Los sesenta 64: Pink Floyd;http://www.rtve.es/play/audios/discopolis/discopolis-9365-sesenta-64-pink-floyd-02-06-16/3621840/;2016;6
Episodio 65;Los Sesenta 65: Grateful Dead Live;http://www.rtve.es/play/audios/discopolis/discopolis-9366-sesenta-65-grateful-dead-live-03-06-16/3621841/;2016;6
Episodio 66;Los sesenta 66: Mayall-Amon Duul;http://www.rtve.es/play/audios/discopolis/discopolis-9369-sesenta-66-mayall-amon-duul-06-06-16/3625955/;2016;6
Episodio 67;Los sesenta 67: Rare Earth - Can;http://www.rtve.es/play/audios/discopolis/discopolis-9370-sesenta-67-rare-earth-can-07-06-16/3626979/;2016;6
Episodio 68;Los Sesenta 68: Rolling Stones;http://www.rtve.es/play/audios/discopolis/discopolis-9371-sesenta-68-rolling-stones-08-06-16/3628202/;2016;6
Episodio 69;Los sesenta 69: Deep Purple;http://www.rtve.es/play/audios/discopolis/discopolis-9372-sesenta-69-deep-purple-09-06-16/3629389/;2016;6
Episodio 70;Los Sesenta 70 Van der Graaf G.;http://www.rtve.es/play/audios/discopolis/discopolis-9373-sesenta-70-van-der-graaf-10-06-16/3630417/;2016;6
Episodio 71;Los Sesenta y71 Deep Purple Orchestra;http://www.rtve.es/play/audios/discopolis/discopolis-9377-sesenta-y71-deep-purple-orchestra-13-06-16/3632257/;2016;6
Episodio 72;Los sesenta 72, España;http://www.rtve.es/play/audios/discopolis/discopolis-9376-sesenta-72-espana-14-06-16/3633766/;2016;6
Episodio 73;Los sesenta 73 España 2;http://www.rtve.es/play/audios/discopolis/160615-discopolis-espana-02-2016-06-14t14-29-04717/3633712/;2016;6
Episodio 74;Los sesenta y 75 Pau Riba;http://www.rtve.es/play/audios/discopolis/discopolis-9381-sesenta-75-pau-riba-17-06-16/3633714/;2016;6
Episodio 75;Los sesenta 76: Los Sirex;http://www.rtve.es/play/audios/discopolis/discopolis-9401-sesenta-76-sirex-04-07-16/3653071/;2016;7
Episodio 76;Los sesenta 77: Gelu;http://www.rtve.es/play/audios/discopolis/discopolis-9402-sesenta-77-gelu-05-07-16/3653970/;2016;7
Episodio 77;Los sesenta 78: Los Mustang;http://www.rtve.es/play/audios/discopolis/discopolis-9403-sesenta-78-mustang-06-07-16/3654805/;2016;7
Episodio 78;Los Sesenta 79: Lone Star;http://www.rtve.es/play/audios/discopolis/discopolis-9404-sesenta-79-lone-star-07-07-16/3655731/;2016;7
